word,part,definition,graphemes
aa,bu.,bu. vh subteta vzt subtet kysi o vh subtate vzt subtat kysi deqhm. cxla ysi gega in sxgu z gega shlp. in vs ju buhhtes uxi beba.,aa
aaosi,e.,e. taar in kauin hgasi dkdg deqhm.,aa o si
aappaa,sj.,sj. yra lela. yra ja asj. kat yra o gta z ja ahk je hji.,aa pp aa
aayin,e.,e. aosiple taar je ji el je ishl am hji inasi.,aa y in
achai,e.,e. ahk kap gudde.,a ch ai
achei,sj.,sj. yra lqa o htu ykai z je yra ji oteb.,a ch ei
afhjshf,e.,e. aappaa je axx. am olla. yra je kap axx. aokai je sxk ji.,a f hj sh f
afsu,k.,k. vh cjja ee vh cjje aisir rik.,a f su
aga,sj.,sj. afsu f hucher.,a ga
agappx,sj.,sj. ewer z kytu. a kuuee.,a ga pp x
ahg,k.,k. vk gudde aa shg dkdg.,a h g
ahj,sj.,sj. taar gudih kyin el shley. uku hucher hmt beba el shley.,a hj
ahk,k.,k. ging dkdg vk kytu.,a h k
ahsh,sj.,sj. ahg kytu f sxresh.,a h sh
aibesj,sj.,sj. lef jajije lpubel ash. gegagu z l uxi aie hji.,ai be sj
aidu,k.,k. qah suba kadu am subb kap kadu.,ai du
aie,sj.,sj. dust ja je asj ee je ja asj o dust je giduh z ja yk dkdg ee ja giduh z je yk dkdg aa uxi kytu f kyv.,ai e
aige,e.,e. yra ahg.,ai ge
aiger,i.,i. ahg je atek kat yre ginger je ji.,ai ge r
aiguux,sj.,sj. vh oraux qatub z gega bteb f eeluz.,ai gu ux
aiin,k.,k. vk gudde aa thg dkdg f ging rak in dkdg.,ai in
aik,k.,k. ju yra suba kadu o yra subb kadu.,ai k
aiok,k.,k. vh uxaux yele vzt yra suba aiqr. yra aik.,ai o k
aiqr,k.,k. vh yre sjlup o vh uxauxf vzt beba.,ai qr
air,sj.,sj. liliax z ja.,ai r
airli,k.,k. suba kytu aa subb kytu aa ehg kytu.,ai r li
airlx,k.,k. suba kytu am subb hytu.,ai r l x
aish,sj.,sj. qah z ju lela lela kadu.,ai sh
aisir,a.,a. asre deqhm.,ai si r
aitek,e.,e. hhk husj. oly hhk husj. thg atek. oly thg atek. aohz je je tji. aohz ahk je ulio.,ai te k
aitgutea,sj.,sj. ahk yra gudde brye aozh alax ji. vk gudde irli atek aozh alex ji.,ai t gu te a
aiugf,i.,i. oley el je tlah f lela belu je kyso. taar yra ji. am deaw je xgf. auin jel ji.,ai u g f
aizsuda,sj.,sj. kyin aa toy f zuf z ging.,ai z su da
aizt,sj.,sj. tair vzt.,ai z t
aje,cj.,cj. subtatef je.,a je
aka,sj.,sj. akerux ee akcxa.,a ka
akabk,sj.,sj. yre aka l ppsux ji. yre aka el l btebe kap bek ji. aka yk ahk vs aka btebe f zkehu ji.,a ka b k
akachf,i.,i. gudda yra ktap hji. lpupl exiex xgin yra dkdg. plahe yre gudda ktap shg. lpupl btebr shg yra dabu. oyr xgin kevin kzin.,a ka ch f
akagata,sj.,sj. amti ahk kyv f deda.,a ka ga ta
akcxa,sj.,sj. laf yra cxs kat tael yra ji el yra lqa.,a k cx a
akerux,sj.,sj. laf xeli cxs.,a ke r ux
akudep,sj.,sj. qvq z guo. k. plu guo rah in dyt.,a ku de p
akydep,k.,k. plu liuzu z guo akudep.,a k y de p
akyt,k.,k. siuaa subtet ee subtat hji.,a k y t
alaw,sj.,sj. alp kakakaw.,a la w
alax,e.,e. sxuk uxauxf ging aiin.,a la x
alb,e.,e. uku alp. vh dku hutl vs def kakauka yra ji.,a l b
alex,e.,e. sxzu ging aiin.,a le x
alfsu,sj.,sj. pdepr aga ji ishl.,a l f su
algin,sj.,sj. yre alpp. kap lavit am utal. uxaux siuai ykai ehu dkdg.,a l g in
alih,k.,k. pdepr hucher kyin.,a li h
alip,e.,e. vs je alp ji.,a li p
alp,e.,e. hucher alpu. suba heba in bteb am subb beba in bteb. kakauka vs du ju yra ji.,a l p
alpi,a.,a. kyin f hgasi alpp.,a l p i
alpp,sj.,sj. 1 vh sxzu subteta f vzt. 2 dust sxzu subteta vzt ji o kadu f sjlup. 3 dust suba kap kyv am subb kyv o kadu f hgasi. 4 vh wax f liuzu.,a l pp
alpu,k.,k. alp yra kyin.,a l pu
aluzui,sj.,sj. tata z je xhjra.,a lu zu i
am,bu.,bu. vs subtet fsa ji f subtat deqhm. alp sxresh deqhm.,am
amaze,sj.,sj. plato aiqr f sjlup.,am a z e
ami,e.,e. axuax amsht je ji el je in laf ishl.,am i
amka,k.,k. uzuini belu je tacx am vk khjla thg je chsiv.,am ka
amsht,sj.,sj. vk subt vt alpp f bzui f zuf z vzt.,am sh t
amtai,sj.,sj. suba kysi o qah ubva kadu f yra.,am ta i
amter,k.,k. ju oraux aoliga.,am te r
amti,sj.,sj. alfsu ahk f yra. akudep ahk kyso f yra.,am t i
amx,e.,e. rali aoer ee guo hji.,am x
aoer,sj.,sj. yra z guo f lavit lela ahk tky f cxla pdepr z lela.,ao er
aohh,bu.,bu. ju sxresh sxresh kap kaish.,ao hh
aohj,sj.,sj. axuaxf yele vh vzt in sjlup.,ao hj
aohjg,hh.,hh. 1 vs ju yra sxk erisula yra kadu. 2 dest in dast ju yra kyv o yra kyv.,ao hj g
aohucx,e.,e. uxaux ging shlp.,ao hu cx
aohz,bu.,bu. dust tair subtet ji o tae ehut subtat ji.,ao h z
aok,k.,k. 1 ging shlp. 2 vh cxhht vk ju yra vt yra kyv.,ao k
aokai,e.,e. belu asj am hhk f akudep.,ao ka i
aokasx,sj.,sj. yra qrfde hucher in sxresh. bu. qrfde deqhm deqhm.,ao ka sx
aol,e.,e. hhk axhk.,ao l
aoley,e.,e. subt dvt lpubel subtat ahk vztu f oley.,ao le y
aoliga,k.,k. suba hkdg am subb dkdg. rak.,ao li ga
aosiple,a.,a. vh uxaux vzt.,ao si p le
aoxh,bu.,bu. xzt tair subtet pji o elau subtat ji.,ao x h
aozh,bu.,bu. tae ehut subtet ji dust tair subtat ji.,ao z h
aozra,sj.,sj. belu je jajije f lava lela.,ao z ra
apda,sj.,sj. vh lap f deda in sxresh.,a p da
apu,q.,q. pu lela.,a pu
artai,sj.,sj. amtai ahk akagata rink.,a r ta i
ash,sj.,sj. l asj z gtin.,a sh
asj,k.,k. 1 vk ja je f akudep kyv. 2 ahk yamte ew el lela chley. 3 yra belu rak.,a sj
asre,k.,k. ubva kytu o lisuvai kytu.,a s re
asx,k.,k. 1 asj am axuaxf ji. 2 dust ja ee je kap utei o vh akudep z je ja alih kat ja je asj.,a sx
atai,sj.,sj. ju ja ja asj el je lqa. je ju ja hji.,a ta i
atek,k.,k. 1 sxuk taar kyin. 2 taar subb kyin.,a te k
auin,e.,e. kap kauin. kauin cji ji el hhg je ishl.,a u in
axdacj,sj.,sj. uxaux aohjg l aiqr shlup f sxgu.,ax da cj
axgg,sj.,sj. plu subteta guo beba f hucher.,ax g g
axhk,k.,k. 1 vk ju yra ee yra ysi hucher kytu. 2 ysi hucher yre hucher kyin.,ax h k
axht,k.,k. vk exiex sjlup yra axhk.,ax h t
axi,a.,a. hhk sxi axuax.,ax i
axlk,k.,k. exiex ykai subb yre sui lav deda kyin.,ax l k
axt,sj.,sj. vh etela f kusxkusx sjlup z yre lela.,ax t
axuax,hh.,hh. kap uxaux. zuf bteb.,ax u ax
axuaxf,e.,e. hgasi z l axuax dkdg.,ax u ax f
axx,k.,k. sxuk hsj.,ax x
azui,sj.,sj. yk vk yre lela in vk uku lela yra kysi.,a zu i
baali,sj.,sj. 1 vzt z sjlup. 2 vzta sjlup gato deqhm.,ba a li
bafta,sj.,sj. taar in kauin ktap yk dkdg o jater in ratazee ktap hkdg.,ba f ta
bakai,sj.,sj. alp hjter kyin.,ba ka i
bakal,e.,e. blek je oly eji.,ba ka l
bataam,sj.,sj. amsht kap kytu f yra lela.,ba ta am
bazg,sj.,sj. vk bteb guo ska.,ba z g
bcx,k.,k. vt yra aok.,b cx
beak,k.,k. vk zucjch vt alpp yra lela kysi.,be a k
beax,sj.,sj. ykai z liliax. k. hucher deqhm.,be ax
beba,k.,k. ging ahk pdep. yra yra ji. e. ging dkdg. sj. ging ahk pdep el bteb f kusxkusx gega.,be ba
bebak,k.,k. beba aa fgah aa akydep.,be ba k
begai,sj.,sj. beba f uku vzt.,be ga i
behm,sj.,sj. hmt l bebak.,be hm
bek,k.,k. vk lela daeif rek.,be k
belu,k.,k. plu akudep plaf.,be lu
berge,sj.,sj. gebr el pvbe tkr f yre elau gega ji.,be r ge
besjp,sj.,sj. esjip l bebak.,be sj p
bett,sj.,sj. vk l beak f qvq f gazter.,be t t
bevi,sj.,sj. ktap kytu f ewer.,be v i
bezt,k.,k. vh kap ppicj f yra tata shlp aa vs laf utei aa oley akydep.,be z t
bezu,k.,k. sxzu belu.,be zu
bhh,sj.,sj. vh subtet ee subtat ska.,b hh
bik,k.,k. ysi rali sjam kyin.,b i k
bipu,e.,e. xzt yra je rcxs.,b i pu
bki,k.,k. liuzu z yre deda tky. lpubal eduh sxde ji.,b k i
blek,sj.,sj. je eji shley f lela.,b le k
blih,e.,e. vk kytu oing hkdg.,b li h
blit,k.,k. hjter pdepr rak o iligt btebr rak.,b li t
blug,sj.,sj. yra tla f zuf z lela.,b lu g
botvi,sj.,sj. yre vs dudi aohjg l aiqr. sasih tlah.,b o t v i
bpu,q.,q. pu kyv.,b pu
braee,sj.,sj. qlat el teer subt ji ji. vk subtat yk ahg atek. subt hhg ejlip.,b ra ee
brue,k.,k. sxzu brye.,b r u e
brxe,k.,k. vh qah hhk tky.,b r x e
brye,k.,k. 1 ehg yra kysi ishl am heze hkdg. 2 aaosi yra ji ishl am heze hkdg.,b r y e
brysh,sj.,sj. qahh xyt f qvq. brye f qaq. qahh yra ehu.,b r y sh
bsjzv,sj.,sj. ysi hmt el guo ahk l jajije kyso.,b sj z v
bsxju,e.,e. kap sxi uxaux in axuax ju yra yra byta.,b sx ju
bteb,k.,k. 1 eguux kyv. 2 liuzu z yra tky. sj. suba chil f ging.,b te b
btebe,k.,k. uxi bteb.,b te be
btebr,sj.,sj. bteb f lela.,b te b r
btef,k.,k. vk ju lbf vt lbf hucher kalao.,b te f
btep,k.,k. heha qwq kyin.,b te p
budal,sj.,sj. suja xhg je lacx. suja je asj am yra lisu xhg je lacx.,bu da l
buhhtes,sj.,sj. yre eeluz ahk subtet ee subtat kyin vx yra. bu kuuee.,bu hh te s
buk,sj.,sj. yras gega in heha f luwux gazter.,bu k
buzpu,p.,p. qlat el aozra tku ji. am gta je ahg. aozra ahk gta hji pu.,bu z pu
byta,k.,k. vs lef in def f yre hutl sxi taar ypu tky.,b y ta
bzui,sj.,sj. beak f akydep.,b zu i
chdut,sj.,sj. vk zucjch vt subt gaeif z qrexzt.,ch du t
chge,sj.,sj. vh ahk ppicj f ler uxaux qahh dkdg. vx jel yre lela f yra ler.,ch ge
chha,k.,k. vk utei.,ch h a
chhsida,e.,e. juchsj xinei ji el je lqa.,ch h si da
chil,k.,k. vk wax vt wux kysi.,ch i l
chla,sj.,sj. thg gudde f law.,ch la
chley,k.,k. ehg qwq kaish belu. sj. ley z axgg.,ch le y
chlicx,k.,k. erk lpubal hgaxi rah.,ch li cx
chlie,e.,e. chil.,ch li e
chra,sj.,sj. qlat el pip asj f yra lela tku ji. l ew z jar je ahg.,ch ra
chre,sj.,sj. ezugad xyt am wsir ji.,ch re
chsiv,k.,k. subb kap kytu. e. liuzu ju yra ee yra hkdg.,ch si v
cht,k.,k. beba z laf rek.,ch t
chtai,sj.,sj. vk ler z gudih uxaux pip lutad qwq f gazter.,ch ta i
chtu,k.,k. taar ubva ji kka hhg kytu.,ch tu
cjab,bu.,bu. subtet kysi xyt subtat kap kysi.,cj a b
cjade,sj.,sj. tade uku sxresh ji f chtai.,cj a de
cjdacx,sj.,sj. deqhm z sjdr. cj kuuee.,cj da cx
cjdahh,e.,e. uxaux hutl in ler dkdg. qlat el xihuhesh z yras tuk aa dyt ji.,cj da hh
cjhht,sj.,sj. ekin z iligt.,cj hh t
cji,cj.,cj. subt btebr deqhm.,cj i
cjja,e.,e. subtatef gato baali.,cj ja
cjje,e.,e. subtetaf gato baali.,cj je
cxdau,sj.,sj. vh wax liuzu z guo f hjter. guo ahk dupi ee tuzt.,cx da u
cxdg,e.,e. kap rek.,cx d g
cxgai,sj.,sj. vh du kaw exiex sxresh ehu kysi. xux inlt akudep.,cx ga i
cxhht,sj.,sj. 1 rik f sjlup in hgasi. 2 ju kazuqr ee kazuqr ahk rik f yele sjlup. 3 gaeif z l rik.,cx hh t
cxihutu,e.,e. chhsida je ji am xaxaxa je hkudep kat ju ja ehg je dkdg el je lqa. siuaa taar ju ja ee ja ji el je lqa.,cx i hu tu
cxizu,k.,k. taar ji xyt el je kyso kat livi dabu.,cx i zu
cxla,a.,a. vh uxauxf sxresh kysi.,cx la
cxlh,sj.,sj. vx axt z yra lela ahk yra kytu o ahk yk yra kytu f kyv.,cx l h
cxli,k.,k. ahk dyt.,cx li
cxlia,sj.,sj. 1 sjlup kyv f pdepr. 2 eguux in lela hji f pdepr.,cx li a
cxlu,a.,a. vh yele uxauxf kysi.,cx lu
cxqku,sj.,sj. yre axuaxf kazuqr. hatel kadu.,cx q ku
cxs,k.,k. yre btebr bteb dr thg yre pdepr pdep dr dsu.,cx s
cxsi,e.,e. siuaa vs yra kadu.,cx si
cxsuv,e.,e. livai hytu.,cx su v
cxtqal,sj.,sj. dyt f cxhht.,cx t qa l
cxuk,e.,e. axuax in uxaux suba zuf ji.,cx u k
cxzl,e.,e. yra kap asx f akudep.,cx z l
daah,sj.,sj. yra yra ji ahk kyso f ewer.,da a h
dabi,k.,k. kap vzte in vztel ju yra ji el yra kyso.,da b i
dabu,k.,k. kap vztel sjlup yra kabu.,da bu
dadali,sj.,sj. je ehu ja asj.,da da li
daeif,sj.,sj. yra ahk kytu f gaeif.,da ei f
daf,sj.,sj. ju deda.,da f
dahpu,sj.,sj. subtate sjlup. gta ee guerg kadu.,da h pu
dahsx,e.,e. ja belu je shlp.,da h sx
daidu,sj.,sj. taer ahk gudih kyin f qwq.,da i du
daiei,sj.,sj. l ahg z yras ahk l ppicj z yras lire f yras lela. etela dsiu.,da i ei
daita,e.,e. gapuita dkdg.,da i ta
daiu,k.,k. yra qatub ji.,da i u
dalei,sj.,sj. ja xyt f lela.,da le i
dast,bu.,bu. sxresh kyv f vh subtate vzt deqhm.,da s t
deaw,a.,a. vh subtate deqa kaw.,de a w
deda,sj.,sj. lela hji f hucher.,de da
def,cj.,cj. ysi in exiex deda beax.,de f
degulu,sj.,sj. tair zlut ji el ysi tky f kyv.,de gu lu
dela,sj.,sj. lela xyt f deda.,de la
deo,sj.,sj. vh uku ktap f axuax ykai dkdg am vk ktap ahk jar kyta f axuaxf ktap.,de o
deqa,e.,e. deqar ji.,de qa
deqar,sj.,sj. vh subteta ypu vda el tta lela dvt aa subb vda f yra.,de qa r
deqh,k.,k. vs yre gege yre hucher deqhm aa bteb.,de q h
deqhm,k.,k. 1 hucher beax. 2 vh subteta heba f gega kyv. 3 yre hgasi kyv. sj. beax f lela in deda.,de q hm
dest,bu.,bu. sxresh kyv f vh subteta vzt deqhm.,de s t
deuka,sj.,sj. kakauka ju lela f idcx ee idcx z lela dew ji.,de u ka
dew,a.,a. vh deqa yele vzt.,de w
dexin,e.,e. ja hhk je aik cjab dadali.,de x in
deygin,sj.,sj. laf ahk akydep kat cji xgin.,de y g in
dgasir,sj.,sj. vzta f yra hgasi z pdepr.,d ga si r
dher,q.,q. vh yra ubva beba am subb kap bteb f hutl.,d he r
dkder,sj.,sj. dkdg f uku yra.,d k de r
dkdg,k.,k. wux z yra ju yra kadu.,d k d g
dkdger,sj.,sj. dkdg f lela in deda deqhm.,d k d ge r
dku,hh.,hh. vh uku f deqar.,d ku
dr,cj.,cj. sjdr eeluz kyin. subtate eeluz kadu.,d r
dsiu,k.,k. siuai ju yra ee yra ji.,d si u
dsu,k.,k. siuaa ju yra ee yra ji.,d su
dsxl,sj.,sj. vh yamte yras f kap subtet ee kap subtat f yra kadu f sjlup.,d sx l
du,hh.,hh. vh yrs f ju yra aa ju yra aa yra.,du
duada,k.,k. guo luwux ging kadu.,du a da
duax,sj.,sj. dudi aiqr f liaax z utu lela.,du ax
dudi,sj.,sj. yre axuaxf kazuqr. suja je ulilu f vh yra. yamte kakakaw yra je aiqr.,du d i
duer,sj.,sj. duax ji f lela.,du er
dukai,e.,e. aohucx libux akudep.,du ka i
dule,k.,k. taar belu am hytu.,du le
dupi,k.,k. hezl yra kap kysi aiin.,du p i
dupo,k.,k. yra hezl kap kysi el dupi.,du p o
dust,bu.,bu. sxresh kyv f vh vzt deqhm.,du s t
duta,k.,k. vk iley hkdg kysi.,du ta
dutipp,e.,e. vh uxauxf vzt kap ulilu.,du t i pp
dutu,k.,k. vk ppicj hkdg kysi.,du tu
duty,sj.,sj. thg gudde f yra ahg je gudde.,du t y
dvt,k.,k. qvq qwq kyin.,d v t
dyt,k.,k. qahh juya kyin.,d y t
eami,e.,e. exiex amsht je ji el je in laf ishl.,e am i
eduh,e.,e. qlat vk kytu ji. suba bki.,e du h
ee,bu.,bu. ju yra yra shlp deqhm. cxla ysi gega shlp.,ee
eeaa,sj.,sj. eja ee aje je kap kaxs el je shley.,ee aa
eeluz,sj.,sj. gega ee gega shlp f liliax z eguux.,ee lu z
egain,e.,e. uxaux subtatef lela lqa. vztel yra z ladut ji.,e ga in
egaxi,e.,e. isiga in xsiga z hgasi dkdg.,e ga x i
egg,e.,e. hgasi z axgg dkdg.,e g g
egta,e.,e. exiexf xlag o lagat igf o bezu atek.,e g ta
eguux,sj.,sj. 1 pdepr ee btebr f xihuhesh bteb f ewer in eishu. ahk qhh o gega shlp. 2 lela in deda bteb f gega. e kuuee.,e gu ux
egw,sj.,sj. alp deda kyta asj f etela.,e g w
ehg,k.,k. vh subtate kyv.,e h g
ehjr,e.,e. heba.,e hj r
ehu,k.,k. ehut ji.,e hu
ehut,e.,e. kap lav ee kap gude. uxauxf in axuaxf ahk.,e hu t
eiar,hh.,hh. 1 kap taar ee kap kauin. 2 vk yra sxvz lela cxla hkudep.,ei a r
eiber,e.,e. zaxei zhlig ji kat l asj z zulig libux ejlip.,ei be r
eida,hh.,hh. vx cxsi lela cxla yra kytu.,ei da
eider,e.,e. zaxei zhlig ji kat aka z zulig dupo.,ei de r
eihcx,e.,e. taer je ji el laf bteb el je chley. je laf ahg el je chley.,ei h cx
eihk,e.,e. ehut l gudde ji.,ei h k
eilcx,sj.,sj. eiar el cxlu ejlip ji. kat uxauxf ehut l xkaka cxlu ji. uxaux xax hhg.,ei l cx
eir,sj.,sj. liliax z je.,ei r
eisft,k.,k. kap bteb am vda. vst bteb pdep.,ei s f t
eishu,sj.,sj. uxaux pdepr kelio f axuax btebr.,ei sh u
eitek,a.,a. vs ekin ee l atek.,ei te k
eizt,sj.,sj. vzte ging.,ei z t
eja,cj.,cj. alp ja.,ej a
ejami,e.,e. ja ralio je rek el je belu. ja bezu je ulio dast sxzu uami je iji. ja belu je liso tku kat amx je eji. ysi yux subb amsht z je ji. uami je ji. je yra ejlip.,ej am i
eje,cj.,cj. subtetaf je.,ej e
eji,k.,k. ehg ji. am subb hji.,ej i
ejk,k.,k. ehu ahk.,ej k
ejlip,k.,k. kauin ehg kyin el helu aa ejlpp ji.,ej li p
ejlpp,e.,e. vh qah kauin subb akudep ji.,ej l pp
ekin,sj.,sj. sxuk belu f ging in akudep.,e k in
el,bu.,bu. ysi eeluz shlp f gega. vh cjdahh eeluz bteb. ju yra ahk dr tuk aa yra tuk. xzt eeluz yra ji o ju yra ee yra f dsxl kadu.,e l
elau,e.,e. uxauxf in uxaux qatub dkdg.,e la u
elipp,sj.,sj. dust xux je ji o suba heba f exiex pul kyin. sxi qlat el subt z l beak yra kyso.,e li pp
erisula,sj.,sj. gato z cxhht.,er i su la
erk,k.,k. idcx dvt.,er k
esjip,e.,e. vh etela ging luux ska.,e sj i p
esjp,e.,e. ubva shlp.,e sj p
etabu,e.,e. teer belu je atek. oley gerg z je ji el je belu.,e ta bu
etela,sj.,sj. etla yras lela.,e te la
etla,e.,e. pip tla.,e t la
etu,e.,e. ahk kytu.,e tu
eut,e.,e. kap lav.,e u t
evamt,sj.,sj. sxresh kysi.,e v am t
ew,k.,k. vk hgasi z l gudde sxi inlt rik.,e w
ewer,sj.,sj. 1 ewi lela in deda. 2 ju deda ew f deda.,e w er
ewi,e.,e. ahk ew.,e w i
exate,sj.,sj. vzt ee sjlup sub uxi tuk f qvq.,ex a te
exiex,hh.,hh. kap axuax ee kap uxaux.,ex i ex
exiexf,e.,e. exiex f hgasi dkdg.,ex i ex f
eytu,e.,e. ehut el yra kytu ji.,e y tu
ezugad,e.,e. qatub dkdg.,e zu ga d
ezuged,e.,e. oley l kalao ji el ishl.,e zu ge d
ezugud,e.,e. plu yra ahk tkr.,e zu gu d
f,bu.,bu. subtat subtet bteb deqhm. gega in axuaxf eeluz subtat ji.,f
fakpul,i.,i. aka inlt kysi el puel kyso. vh l beak ee etela cxlu puel ji. dust yre lela je asx o puel yra dkdg. xzt vk je aka yra kap kyv o ja yra ji.,f a k pu l
fapvog,i.,i. ginga gaink ee gaing ji. xyki def hkdg el kap luwux dr hji. siuaa ovo def hkdg kat ovo kap lisu ginger dkdg.,f a p v o g
fasjh,i.,i. l hhk f lela je inlt asj kat plahe vk je yras f l asj ji lpupl tta guo yra l asj ji. guo z yras je belu am tta guo vk yras je ji. l asj z qahh yra xdet.,f a sj h
fatezh,i.,i. zucjch thg beba. vh yra lela airlx o subtet fgah. qah subtat hadu. vh yra subtat heba. kat zucjch yra ji.,f a te z h
fatvz,i.,i. uxaux vzt suba je werx. uxaux iligt suba je werx. uxaux qahh aidu. am hhg ejlip. gaint yk shg tla.,f a t v z
faxgu,i.,i. axuaxf ging uxauxf ging kyin lpu. uxauxf ging axhk in axlk.,f ax gu
fbeeg,i.,i. ging eguux ji. vk beba ging lela ahg. vk beba eguux kap thg lela ahg. am lela lela ji aozh qah ishl. eguux qah ahg.,f be e g
fbeka,i.,i. thg lela ubei. kat ubei o ahk lela tabir pip asj. yre ler l akydep eguux ji.,f be ka
fbeprs,i.,i. gazter z gega ee aiguux oraux ji. qahh gega ee aiguux ji pu. hut pdepr gega yk ji. btebr aiguux ji. tae aiguux gega shlp. hut btebr pdepr shlp.,f be p r s
fchht,i.,i. cxhht bpu. liuzu z gudih baali bki. cxhht axdacj ee liuzu z gudih bki. lpupl cxhht l bebak z lela bki.,f ch h t
fchhtl,i.,i. cxhht lela bki lpu.,f ch h t l
fcjpul,i.,i. cjdahh du lela ji. ash ahk puel alpp lpubul aka.,f cj pu l
fcxht,i.,i. ahk juya axhk. yre lela yra juya hji. dyt f cxhht ee dvt f cxhht dsiu.,f cx h t
fcxinl,i.,i. laf in daf kauin ging cxs lpu. vk cji dupi hba vzt hkdg el lela l xkaka kyso. kauin yra kytu el lela kyso bteb am olla kauin kytu f gegagu cji hji.,f cx in l
fdahra,i.,i. l wux bpu. ja ee je uxi beba f sjlup pu. dahpu yra ji pu. dast ja ee je taga o dahpu jef hkdg am wuh ja ee je ji. dest lef taga o dahpu dkdg am wux ehu ja ee je kap uxi kadu. l wux l gatira keka.,f da h ra
fdylb,i.,i. palb tkr aozh l alb dyt. alp l uku ji dr l alb hji. alp yra ahk lela akydep vx yra dr l alb ji.,f d y l b
fgah,k.,k. vh qah qahh kytu.,f ga h
